,Anest,Bnest,ABnest,Cmono,Other,Non-monophyletic,Poor-resolution,Anest_total,Bnest_total,ABnest_total,Cmono_total,Other_total,Non-monophyletic_total,Poor-resolution_total,Anest_core,Bnest_core,ABnest_core,Cmono_core,Other_core,Non-monophyletic_core,Poor-resolution_core,Anest_a,Bnest_a,ABnest_a,Cmono_a,Other_a,Non-monophyletic_a,Poor-resolution_a,Anest_b,Bnest_b,ABnest_b,Cmono_b,Other_b,Non-monophyletic_b,Poor-resolution_b,total,core,a,b,name,disp,ne,time,int,history
coresim_m0.4_n100000_e400000_i200000_ACB,0,0,0,20,0,0,0,0,0,0,6.468289049,0,0,0,0,0,0,1.934505763,0,0,0,0,0,0,3.139888247,0,0,0,0,0,0,2.401551552,0,0,0,6.468289049,1.934505763,3.139888247,2.401551552,coresim_m0.4_n100000_e400000_i200000_ACB,4,100000,400000,200000,ACB
coresim_m0.4_n100000_e400000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,6.381744291,0,0,0,0,0,0,1.667780257,0,0,0,0,0,0,3.192801742,0,0,0,0,0,0,2.650873312,0,0,0,6.381744291,1.667780257,3.192801742,2.650873312,coresim_m0.4_n100000_e400000_i200000_ABC,4,100000,400000,200000,ABC
coresim_m0.8_n50000_e200000_i50000_CAB,0,0,0,20,0,0,0,0,0,0,5.327942503,0,0,0,0,0,0,1.995890001,0,0,0,0,0,0,2.56536452,0,0,0,0,0,0,2.477744294,0,0,0,5.327942503,1.995890001,2.56536452,2.477744294,coresim_m0.8_n50000_e200000_i50000_CAB,8,50000,200000,50000,CAB
coresim_m0.8_n50000_e200000_i50000_ACB,0,0,0,20,0,0,0,0,0,0,5.496278052,0,0,0,0,0,0,1.91284142,0,0,0,0,0,0,2.683163566,0,0,0,0,0,0,2.339878164,0,0,0,5.496278052,1.91284142,2.683163566,2.339878164,coresim_m0.8_n50000_e200000_i50000_ACB,8,50000,200000,50000,ACB
coresim_m0.8_n50000_e200000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,5.494789286,0,0,0,0,0,0,1.774698118,0,0,0,0,0,0,2.697723322,0,0,0,0,0,0,2.458259473,0,0,0,5.494789286,1.774698118,2.697723322,2.458259473,coresim_m0.8_n50000_e200000_i50000_ABC,8,50000,200000,50000,ABC
coresim_m0.8_n50000_e200000_i100000_CAB,0,0,0,20,0,0,0,0,0,0,6.096145811,0,0,0,0,0,0,2.016739579,0,0,0,0,0,0,2.909122253,0,0,0,0,0,0,2.70079253,0,0,0,6.096145811,2.016739579,2.909122253,2.70079253,coresim_m0.8_n50000_e200000_i100000_CAB,8,50000,200000,100000,CAB
coresim_m0.8_n50000_e200000_i100000_ACB,0,0,0,20,0,0,0,0,0,0,6.41601722,0,0,0,0,0,0,1.861102813,0,0,0,0,0,0,3.152852537,0,0,0,0,0,0,2.402388991,0,0,0,6.41601722,1.861102813,3.152852537,2.402388991,coresim_m0.8_n50000_e200000_i100000_ACB,8,50000,200000,100000,ACB
coresim_m0.8_n50000_e200000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,6.366595576,0,0,0,0,0,0,1.622069057,0,0,0,0,0,0,3.185271729,0,0,0,0,0,0,2.64898886,0,0,0,6.366595576,1.622069057,3.185271729,2.64898886,coresim_m0.8_n50000_e200000_i100000_ABC,8,50000,200000,100000,ABC
coresim_m0.8_n50000_e200000_i200000_CAB,0,0,0,20,0,0,0,0,0,0,6.949947501,0,0,0,0,0,0,1.868680855,0,0,0,0,0,0,3.387300506,0,0,0,0,0,0,2.819500009,0,0,0,6.949947501,1.868680855,3.387300506,2.819500009,coresim_m0.8_n50000_e200000_i200000_CAB,8,50000,200000,200000,CAB
coresim_m0.8_n50000_e200000_i200000_ACB,0,0,0,20,0,0,0,0,0,0,7.616087409,0,0,0,0,0,0,1.681408389,0,0,0,0,0,0,3.829353657,0,0,0,0,0,0,2.409362405,0,0,0,7.616087409,1.681408389,3.829353657,2.409362405,coresim_m0.8_n50000_e200000_i200000_ACB,8,50000,200000,200000,ACB
coresim_m0.8_n50000_e200000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,7.442045571,0,0,0,0,0,0,1.377111438,0,0,0,0,0,0,3.877010276,0,0,0,0,0,0,2.833095241,0,0,0,7.442045571,1.377111438,3.877010276,2.833095241,coresim_m0.8_n50000_e200000_i200000_ABC,8,50000,200000,200000,ABC
coresim_m0.8_n50000_e400000_i50000_CAB,0,0,0,20,0,0,0,0,0,0,6.310900902,0,0,0,0,0,0,1.985931561,0,0,0,0,0,0,2.988150065,0,0,0,0,0,0,2.89511494,0,0,0,6.310900902,1.985931561,2.988150065,2.89511494,coresim_m0.8_n50000_e400000_i50000_CAB,8,50000,400000,50000,CAB
coresim_m0.8_n50000_e400000_i50000_ACB,0,0,0,20,0,0,0,0,0,0,6.428140301,0,0,0,0,0,0,1.943650201,0,0,0,0,0,0,3.12065006,0,0,0,0,0,0,2.790853622,0,0,0,6.428140301,1.943650201,3.12065006,2.790853622,coresim_m0.8_n50000_e400000_i50000_ACB,8,50000,400000,50000,ACB
coresim_m0.8_n50000_e400000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,6.395136026,0,0,0,0,0,0,1.869688826,0,0,0,0,0,0,3.116492204,0,0,0,0,0,0,2.885076115,0,0,0,6.395136026,1.869688826,3.116492204,2.885076115,coresim_m0.8_n50000_e400000_i50000_ABC,8,50000,400000,50000,ABC
coresim_m0.8_n50000_e400000_i100000_CAB,0,0,0,20,0,0,0,0,0,0,6.876871622,0,0,0,0,0,0,1.927256207,0,0,0,0,0,0,3.293576279,0,0,0,0,0,0,3.067519987,0,0,0,6.876871622,1.927256207,3.293576279,3.067519987,coresim_m0.8_n50000_e400000_i100000_CAB,8,50000,400000,100000,CAB
coresim_m0.8_n50000_e400000_i100000_ACB,0,0,0,20,0,0,0,0,0,0,7.109157459,0,0,0,0,0,0,1.829223279,0,0,0,0,0,0,3.50688955,0,0,0,0,0,0,2.817136918,0,0,0,7.109157459,1.829223279,3.50688955,2.817136918,coresim_m0.8_n50000_e400000_i100000_ACB,8,50000,400000,100000,ACB
coresim_m0.8_n50000_e400000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,7.028708779,0,0,0,0,0,0,1.700485852,0,0,0,0,0,0,3.51498046,0,0,0,0,0,0,3.009274471,0,0,0,7.028708779,1.700485852,3.51498046,3.009274471,coresim_m0.8_n50000_e400000_i100000_ABC,8,50000,400000,100000,ABC
coresim_m0.8_n50000_e400000_i200000_CAB,0,0,0,20,0,0,0,0,0,0,7.487894888,0,0,0,0,0,0,1.732741828,0,0,0,0,0,0,3.719072372,0,0,0,0,0,0,3.145651933,0,0,0,7.487894888,1.732741828,3.719072372,3.145651933,coresim_m0.8_n50000_e400000_i200000_CAB,8,50000,400000,200000,CAB
coresim_m0.8_n50000_e400000_i200000_ACB,0,0,0,20,0,0,0,0,0,0,8.06502708,0,0,0,0,0,0,1.620219614,0,0,0,0,0,0,4.097520605,0,0,0,0,0,0,2.781660575,0,0,0,8.06502708,1.620219614,4.097520605,2.781660575,coresim_m0.8_n50000_e400000_i200000_ACB,8,50000,400000,200000,ACB
coresim_m0.8_n50000_e400000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,7.878373043,0,0,0,0,0,0,1.437213028,0,0,0,0,0,0,4.088799662,0,0,0,0,0,0,3.132492437,0,0,0,7.878373043,1.437213028,4.088799662,3.132492437,coresim_m0.8_n50000_e400000_i200000_ABC,8,50000,400000,200000,ABC
coresim_m0.8_n100000_e200000_i50000_CAB,0,0,0,20,0,0,0,0,0,0,4.056501734,0,0,0,0,0,0,1.769818023,0,0,0,0,0,0,2.012748696,0,0,0,0,0,0,1.990489557,0,0,0,4.056501734,1.769818023,2.012748696,1.990489557,coresim_m0.8_n100000_e200000_i50000_CAB,8,100000,200000,50000,CAB
coresim_m0.8_n100000_e200000_i50000_ACB,0,0,0,20,0,0,0,0,0,0,4.182063735,0,0,0,0,0,0,1.737026064,0,0,0,0,0,0,2.076524043,0,0,0,0,0,0,1.961887508,0,0,0,4.182063735,1.737026064,2.076524043,1.961887508,coresim_m0.8_n100000_e200000_i50000_ACB,8,100000,200000,50000,ACB
coresim_m0.8_n100000_e200000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,4.264782123,0,0,0,0,0,0,1.671191465,0,0,0,0,0,0,2.109424551,0,0,0,0,0,0,2.027339419,0,0,0,4.264782123,1.671191465,2.109424551,2.027339419,coresim_m0.8_n100000_e200000_i50000_ABC,8,100000,200000,50000,ABC
coresim_m0.8_n100000_e200000_i100000_CAB,0,0,0,20,0,0,0,0,0,0,4.779806481,0,0,0,0,0,0,1.951000437,0,0,0,0,0,0,2.330549485,0,0,0,0,0,0,2.278492265,0,0,0,4.779806481,1.951000437,2.330549485,2.278492265,coresim_m0.8_n100000_e200000_i100000_CAB,8,100000,200000,100000,CAB
coresim_m0.8_n100000_e200000_i100000_ACB,0,0,0,20,0,0,0,0,0,0,5.016223767,0,0,0,0,0,0,1.843489158,0,0,0,0,0,0,2.454731222,0,0,0,0,0,0,2.118655821,0,0,0,5.016223767,1.843489158,2.454731222,2.118655821,coresim_m0.8_n100000_e200000_i100000_ACB,8,100000,200000,100000,ACB
coresim_m0.8_n100000_e200000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,5.111386101,0,0,0,0,0,0,1.678243509,0,0,0,0,0,0,2.511776608,0,0,0,0,0,0,2.269074356,0,0,0,5.111386101,1.678243509,2.511776608,2.269074356,coresim_m0.8_n100000_e200000_i100000_ABC,8,100000,200000,100000,ABC
coresim_m0.8_n100000_e200000_i200000_CAB,0,0,0,20,0,0,0,0,0,0,5.739007861,0,0,0,0,0,0,2.071491735,0,0,0,0,0,0,2.738931629,0,0,0,0,0,0,2.54859478,0,0,0,5.739007861,2.071491735,2.738931629,2.54859478,coresim_m0.8_n100000_e200000_i200000_CAB,8,100000,200000,200000,CAB
coresim_m0.8_n100000_e200000_i200000_ACB,0,0,0,20,0,0,0,0,0,0,6.134928084,0,0,0,0,0,0,1.858696213,0,0,0,0,0,0,3.001037925,0,0,0,0,0,0,2.214320617,0,0,0,6.134928084,1.858696213,3.001037925,2.214320617,coresim_m0.8_n100000_e200000_i200000_ACB,8,100000,200000,200000,ACB
coresim_m0.8_n100000_e200000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,6.178506848,0,0,0,0,0,0,1.544550495,0,0,0,0,0,0,3.099055413,0,0,0,0,0,0,2.50577433,0,0,0,6.178506848,1.544550495,3.099055413,2.50577433,coresim_m0.8_n100000_e200000_i200000_ABC,8,100000,200000,200000,ABC
coresim_m0.8_n100000_e400000_i50000_CAB,0,0,0,20,0,0,0,0,0,0,4.757786855,0,0,0,0,0,0,1.922477171,0,0,0,0,0,0,2.323326045,0,0,0,0,0,0,2.289921478,0,0,0,4.757786855,1.922477171,2.323326045,2.289921478,coresim_m0.8_n100000_e400000_i50000_CAB,8,100000,400000,50000,CAB
coresim_m0.8_n100000_e400000_i50000_ACB,0,0,0,20,0,0,0,0,0,0,4.826801559,0,0,0,0,0,0,1.892962303,0,0,0,0,0,0,2.376079928,0,0,0,0,0,0,2.2489543,0,0,0,4.826801559,1.892962303,2.376079928,2.2489543,coresim_m0.8_n100000_e400000_i50000_ACB,8,100000,400000,50000,ACB
coresim_m0.8_n100000_e400000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,4.853958549,0,0,0,0,0,0,1.839422869,0,0,0,0,0,0,2.391271479,0,0,0,0,0,0,2.293340766,0,0,0,4.853958549,1.839422869,2.391271479,2.293340766,coresim_m0.8_n100000_e400000_i50000_ABC,8,100000,400000,50000,ABC
coresim_m0.8_n100000_e400000_i100000_CAB,0,0,0,20,0,0,0,0,0,0,5.360482216,0,0,0,0,0,0,2.014534544,0,0,0,0,0,0,2.592665606,0,0,0,0,0,0,2.508718989,0,0,0,5.360482216,2.014534544,2.592665606,2.508718989,coresim_m0.8_n100000_e400000_i100000_CAB,8,100000,400000,100000,CAB
coresim_m0.8_n100000_e400000_i100000_ACB,0,0,0,20,0,0,0,0,0,0,5.527662088,0,0,0,0,0,0,1.937301257,0,0,0,0,0,0,2.703235839,0,0,0,0,0,0,2.363577899,0,0,0,5.527662088,1.937301257,2.703235839,2.363577899,coresim_m0.8_n100000_e400000_i100000_ACB,8,100000,400000,100000,ACB
coresim_m0.8_n100000_e400000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,5.521964116,0,0,0,0,0,0,1.804206778,0,0,0,0,0,0,2.724514739,0,0,0,0,0,0,2.491294703,0,0,0,5.521964116,1.804206778,2.724514739,2.491294703,coresim_m0.8_n100000_e400000_i100000_ABC,8,100000,400000,100000,ABC
coresim_m0.8_n100000_e400000_i200000_CAB,0,0,0,20,0,0,0,0,0,0,6.19070043,0,0,0,0,0,0,2.04912024,0,0,0,0,0,0,2.961186571,0,0,0,0,0,0,2.73977947,0,0,0,6.19070043,2.04912024,2.961186571,2.73977947,coresim_m0.8_n100000_e400000_i200000_CAB,8,100000,400000,200000,CAB
coresim_m0.8_n100000_e400000_i200000_ACB,0,0,0,20,0,0,0,0,0,0,6.506309293,0,0,0,0,0,0,1.890263242,0,0,0,0,0,0,3.205987194,0,0,0,0,0,0,2.444039274,0,0,0,6.506309293,1.890263242,3.205987194,2.444039274,coresim_m0.8_n100000_e400000_i200000_ACB,8,100000,400000,200000,ACB
coresim_m0.8_n100000_e400000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,6.449013412,0,0,0,0,0,0,1.654853851,0,0,0,0,0,0,3.233437989,0,0,0,0,0,0,2.698461879,0,0,0,6.449013412,1.654853851,3.233437989,2.698461879,coresim_m0.8_n100000_e400000_i200000_ABC,8,100000,400000,200000,ABC
coresim_m0.4_n100000_e400000_i200000_CAB,0,0,0,20,0,0,0,0,0,0,6.109129625,0,0,0,0,0,0,2.077314372,0,0,0,0,0,0,2.909223791,0,0,0,0,0,0,2.715601672,0,0,0,6.109129625,2.077314372,2.909223791,2.715601672,coresim_m0.4_n100000_e400000_i200000_CAB,4,100000,400000,200000,CAB
